participant_id,puzzle_id,order,pause_count,time_to_solve_sec,total_time_spent_sec,check_count,error_count,percent_error,percent_incomplete,hint_count,initial_difficulty,final_difficulty,solved_flag,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,expertise_composite
Bing-p1,1,1,24,319.659474,319.659474,1,2,0.0,0.0,0,3,3.0,True,6,4,2,2,4,3,1.2331881149826882
Bing-p1,2,2,17,135.19776,135.19776,1,0,0.0,0.0,0,2,2.0,True,6,4,2,2,4,3,1.2331881149826882
Bing-p1,4,3,30,360.55084,360.551931,1,3,0.0,0.0,0,4,4.0,True,6,4,2,2,4,3,1.2331881149826882
Bing-p10,0,1,20,189.368498,189.368498,1,2,0.0,0.0,0,2,2.0,True,6,8,2,3,1,3,1.1828864476287009
Bing-p10,1,2,31,371.662483,371.662483,1,1,0.0,0.0,0,4,4.0,True,6,8,2,3,1,3,1.1828864476287009
Bing-p10,4,3,42,358.437425,358.437909,1,6,0.0,0.0,0,3,3.0,True,6,8,2,3,1,3,1.1828864476287009
Bing-p11,1,1,36,622.333017,622.333017,1,1,0.0,0.0,3,4,4.0,True,5,5,1,1,1,2,-0.32239082476890685
Bing-p11,4,2,39,519.281627,519.281627,1,5,0.0,0.0,3,5,5.0,True,5,5,1,1,1,2,-0.32239082476890685
Bing-p11,5,3,40,420.921688,420.923107,3,2,0.0,0.0,3,4,4.0,True,5,5,1,1,1,2,-0.32239082476890685
Bing-p12,2,1,53,581.769812,581.769812,1,11,0.0,0.0,3,3,3.0,True,3,3,1,1,2,2,-0.45560028310516054
Bing-p12,5,2,70,866.160411,866.160411,2,21,0.0,0.0,5,3,3.0,True,3,3,1,1,2,2,-0.45560028310516054
Bing-p12,1,3,33,354.514563,354.51514,2,1,0.0,0.0,0,2,2.0,True,3,3,1,1,2,2,-0.45560028310516054
Bing-p13,5,1,15,193.808601,193.808601,2,2,0.0,0.0,0,2,2.0,True,9,9,2,2,3,3,1.790865890616681
Bing-p13,4,2,12,152.129935,152.129935,1,0,0.0,0.0,0,2,2.0,True,9,9,2,2,3,3,1.790865890616681
Bing-p13,1,3,12,141.643552,141.64401,1,0,0.0,0.0,0,2,2.0,True,9,9,2,2,3,3,1.790865890616681
Bing-p14,0,1,42,648.625455,648.625455,1,8,0.0,0.0,7,3,3.0,True,5,7,0,2,1,2,-0.05107675039278814
Bing-p14,1,2,54,569.950564,569.950564,1,8,0.0,0.0,5,4,4.0,True,5,7,0,2,1,2,-0.05107675039278814
