outcome,predictor,coef,se,z,p,ci_lower,ci_upper,var_participant,var_puzzle,var_residual,n,n_participants,n_puzzles,converged,convergence_warning,p_fdr
pause_count,decisions,-0.05091448694836429,0.3775470199352843,-0.134856015966148,0.8927257159621722,-0.7908930484919473,0.6890640745952187,60.47752895140283,157.29181434603464,544.0142246300614,201,67,6,True,False,0.9916874116562036
pause_count,propagations,-0.00044620835392320896,0.015549645511465905,-0.028695725159405498,0.9771072657939326,-0.03092295352876129,0.03003053682091487,60.48071837805337,157.89323762707176,544.0225918061803,201,67,6,True,False,0.9916874116562036
pause_count,conflicts,0.09499706672694049,0.8490263336083843,0.11188942317395556,0.9109110830250707,-1.5690639690715817,1.7590581025254626,60.50180067174759,157.32611269443993,544.0091490706991,201,67,6,True,False,0.9916874116562036
time_to_solve_sec,decisions,-0.47543321443152853,4.7222532049031,-0.10067931425995705,0.9198050327530338,-9.730879421920449,8.78001299305739,25337.83699613529,24621.110465937898,78272.71527709627,197,67,6,True,False,0.9916874116562036
time_to_solve_sec,propagations,0.0020244675971899766,0.19431519419218324,0.010418472964022159,0.9916874116562036,-0.37882631466839584,0.3828752498627758,25321.20110490414,24664.439155457163,78284.78993990032,197,67,6,True,False,0.9916874116562036
time_to_solve_sec,conflicts,1.3983741329455595,10.600488123163002,0.1319160133664023,0.8950507224855182,-19.378200806998517,22.174949072889635,25302.844607045485,24537.34417059068,78296.77251235378,197,67,6,True,False,0.9916874116562036
error_count,decisions,-0.11660922077097825,0.12244033321721402,-0.9523758855189397,0.3409063846745731,-0.356587864131801,0.12336942258984447,50.106391069017285,15.036376812644923,102.07023369216297,201,67,6,True,False,0.9916874116562036
error_count,propagations,-0.004188553189649267,0.00517724302316837,-0.8090315967215223,0.41849697196893876,-0.01433576305427054,0.005958656674972006,50.13035042404405,15.99722288265777,102.06597232362228,201,67,6,True,False,0.9916874116562036
error_count,conflicts,-0.19955899965151186,0.28899927615899246,-0.6905172992257766,0.4898689349083277,-0.7659871724812821,0.36686917317825846,50.1944604529834,16.789954618024797,102.03113299945478,201,67,6,True,False,0.9916874116562036
hint_count,decisions,-0.014482525338468485,0.04556990654106273,-0.317808976092992,0.7506298415103675,-0.10379790093780766,0.07483285026087069,6.408824113168482,2.156490523714324,11.79083918840351,201,67,6,True,False,0.9916874116562036
hint_count,propagations,-0.00025853178868400737,0.0018946974620372894,-0.1364501688866036,0.8914654154761761,-0.003972070575876541,0.0034550069985085263,6.413047287873889,2.205016154199439,11.78930735166746,201,67,6,True,False,0.9916874116562036
hint_count,conflicts,-0.007268763137446341,0.10381600603297461,-0.0700158233320746,0.9441810653474313,-0.21074439598086955,0.19620686970597687,6.413959317617035,2.2133311690058703,11.788944818449709,201,67,6,True,False,0.9916874116562036
