n_present,n_absent,mean_present,mean_absent,median_present,median_absent,mannwhitney_u,mannwhitney_p,rank_biserial,pointbiserial_r,pointbiserial_p,cohens_d,code,theme,outcome,mw_p_fdr
83,84,0.5662650602409639,0.6904761904761905,0.0,0.0,3204.5,0.3146123893726607,0.08075157773952957,-0.07832916046952144,0.314329055669663,-0.1562001303035528,FOOT,Starting footholds / forced lines,self-reported guessing (0-3),0.5767893805165446
38,129,0.5,0.6666666666666666,0.0,0.0,2196.0,0.277407055252309,0.10403916768665855,-0.08812916840194567,0.25741130004422164,-0.20976176963403026,CLUE,Clue magnitude,self-reported guessing (0-3),0.5767893805165446
25,142,0.36,0.676056338028169,0.0,0.0,1410.5,0.06792619036216194,0.20535211267605635,-0.142220745036401,0.06673957765883491,-0.4003005523606438,PROP,Constraint propagation / chaining,self-reported guessing (0-3),0.24906269799459377
22,145,0.5,0.6482758620689655,0.0,0.0,1391.5,0.282833619795977,0.12758620689655176,-0.0632484764022345,0.41677739051192353,-0.18626246485372783,AMBIG,Combinatorial ambiguity / overlap reasoning,self-reported guessing (0-3),0.5767893805165446
26,141,1.2692307692307692,0.5106382978723404,1.0,0.0,2723.5,1.1218129150249397e-05,-0.4858156028368794,0.3468878012231779,4.379151629915695e-06,1.0139893588538929,GUESS,Guessing / certainty,self-reported guessing (0-3),0.00012339942065274338
24,143,0.625,0.6293706293706294,0.0,0.0,1732.0,0.9369856283254802,-0.00932400932400923,-0.0019337569539823363,0.9802129164746757,-0.005479352853597699,HINT,Hint usage,self-reported guessing (0-3),0.9369856283254802
12,155,0.4166666666666667,0.6451612903225806,0.0,0.0,800.0,0.36959264421536253,0.13978494623655913,-0.07442463731905719,0.339132423514574,-0.2872543342978696,ERR,Mistakes / error recovery,self-reported guessing (0-3),0.5807884409098554
42,125,0.6428571428571429,0.624,0.0,0.0,2672.0,0.8479270930571747,-0.017904761904761868,0.010319052259892282,0.894704715965831,0.023641960727048997,LEARN,Learning / practice / fatigue,self-reported guessing (0-3),0.9369856283254802
7,160,0.7142857142857143,0.625,0.0,0.0,580.5,0.8582733498560192,-0.03660714285714284,0.02256707424254023,0.7722161323171111,0.11196365552062677,LOAD,Cognitive load / tracking,self-reported guessing (0-3),0.9369856283254802
14,153,0.21428571428571427,0.6666666666666666,0.0,0.0,732.0,0.028855211686866687,0.3165266106442577,-0.15812418963009792,0.041258272133500126,-0.5743639919783399,VIS,Visual / spatial layout,self-reported guessing (0-3),0.15870366427776678
7,160,0.42857142857142855,0.6375,0.0,0.0,508.5,0.6488502653023609,0.09196428571428572,-0.052806953727544105,0.4979214948349994,-0.26229420071775056,AFF,Confidence / affect,self-reported guessing (0-3),0.8921691147907462
