restarts,conflicts,decisions,propagations,puzzle_id,solving_time,nvars_input,nclauses_input,nvars_solver,nclauses_solver
1,10,21,933,1,1.59,304,1202,304,1202
1,31,85,2229,2,3.31,310,1210,310,1092
1,3,10,390,3,1.42,311,1198,311,968
1,4,20,528,4,1.48,312,1278,312,1052
1,5,15,539,5,1.97,312,1218,312,984
1,6,12,729,6,1.4,332,1326,332,1225
1,6,18,477,7,1.23,306,1217,306,1217
1,2,11,452,8,1.24,315,1224,315,484
1,6,17,778,9,1.34,326,1270,326,832
1,1,8,330,10,1.38,320,1276,320,615
1,6,15,584,11,1.24,311,1199,311,850
1,10,26,864,12,1.18,321,1233,321,1233
1,33,96,3320,13,1.48,326,1280,326,1280
1,15,41,1162,14,2.59,308,1241,308,808
1,10,23,1174,15,1.33,319,1295,319,1155
1,2,6,330,16,1.14,320,1213,320,416
1,4,11,415,17,1.21,313,1268,313,878
1,5,17,696,18,1.17,313,1243,313,1243
1,7,16,767,19,1.29,309,1172,309,1038
1,2,5,328,20,1.16,322,1235,322,33
1,7,14,769,21,1.21,323,1239,323,1239
1,9,17,577,22,1.25,311,1262,311,788
1,7,23,613,23,1.59,318,1282,318,1204
1,2,8,339,24,1.17,310,1226,310,547
1,6,22,418,25,1.24,327,1293,327,917
1,0,9,315,26,1.1,314,1196,314,326
1,9,27,597,27,1.24,331,1258,331,1258
1,28,62,2073,28,1.83,320,1286,320,1132
1,15,34,968,29,1.3,331,1324,331,1248
1,26,69,1442,30,1.27,324,1276,324,1184
1,9,32,897,31,1.25,318,1255,318,847
1,1,6,338,32,1.13,314,1247,314,383
1,8,14,604,33,1.56,315,1189,315,1189
1,3,11,416,34,1.18,313,1242,313,696
1,5,21,407,35,1.2,328,1291,328,321
1,2,10,341,36,1.06,294,1128,294,1128
1,3,23,763,37,1.2,320,1274,320,1160
1,1,16,473,38,1.67,308,1226,308,1226
1,1,7,392,39,1.23,329,1263,329,475
1,9,21,901,40,1.22,315,1254,315,1162
1,27,75,1338,41,1.26,325,1251,325,780
1,15,42,1142,42,1.72,318,1267,318,796
1,8,31,711,43,1.36,325,1300,325,564
1,3,20,478,44,1.25,327,1310,327,1310
1,22,42,1838,45,1.61,326,1262,326,1262
1,7,42,787,46,1.3,315,1282,315,1282
1,20,57,1254,47,1.28,327,1266,327,1141
1,21,55,1480,48,1.43,311,1246,311,704
1,12,34,1476,49,1.36,313,1264,313,1264
1,8,28,485,50,1.7,316,1272,316,763
1,11,31,690,51,1.25,332,1267,332,1267
1,17,47,1192,52,1.29,320,1256,320,1035
1,0,3,312,53,1.25,311,1257,311,81
1,4,18,405,54,1.87,320,1297,320,1297
1,1,4,321,55,1.23,318,1286,318,58
1,3,8,334,56,1.27,322,1267,322,404
1,1,5,444,57,1.26,328,1282,328,622
1,7,15,581,58,2.25,319,1291,319,1291
1,24,66,1354,59,1.54,315,1265,315,677
1,3,10,359,60,1.25,333,1290,333,1290
1,7,19,504,61,1.2,318,1224,318,818
1,14,49,1112,62,1.64,310,1247,310,1170
1,4,11,497,63,1.21,316,1168,316,452
1,3,16,454,64,1.21,314,1274,314,1274
1,1,4,316,65,1.12,310,1217,310,354
1,18,55,1471,66,1.28,330,1277,330,1277
1,5,25,485,67,2.57,291,1181,291,946
1,1,14,507,68,1.22,321,1300,321,1300
1,3,14,457,69,1.19,315,1255,315,571
1,1,11,384,70,1.21,321,1250,321,1250
1,3,12,409,71,1.43,318,1262,318,916
1,0,2,318,72,1.39,317,1274,317,0
1,1,7,331,73,1.84,328,1312,328,251
1,3,8,414,74,1.22,324,1267,324,1157
1,2,10,330,75,1.18,325,1282,325,1282
1,22,48,1680,76,1.89,328,1277,328,1036
1,5,14,450,77,1.29,324,1310,324,532
1,5,23,659,78,1.26,315,1325,315,1162
1,17,54,1182,79,1.24,320,1237,320,1076
1,1,4,403,80,1.05,291,1118,291,1026
1,1,5,310,81,1.87,305,1221,305,102
1,7,32,927,82,1.28,322,1284,322,975
1,2,8,457,83,1.11,307,1170,307,1053
1,5,13,416,84,1.17,327,1258,327,149
1,5,13,483,85,1.35,331,1273,331,244
1,1,7,328,86,1.18,319,1221,319,1221
1,9,33,970,87,1.2,320,1230,320,1230
1,1,7,414,88,1.15,311,1204,311,558
1,7,21,731,89,1.3,308,1303,308,1221
1,9,22,775,90,1.79,319,1224,319,1224
1,1,10,449,91,1.13,311,1191,311,514
1,10,27,1050,92,1.24,319,1279,319,1279
1,4,10,371,93,1.12,311,1193,311,1193
1,26,80,1633,94,1.29,320,1278,320,1278
1,1,4,318,95,1.2,315,1162,315,140
1,39,103,3314,96,1.6,328,1233,328,950
1,0,5,316,97,1.14,315,1214,315,214
1,6,25,666,98,1.21,330,1226,330,888
1,11,32,1105,99,1.19,314,1243,314,1243
1,1,4,328,100,1.33,325,1256,325,1256
1,3,7,387,101,1.18,300,1268,300,297
1,2,8,458,102,1.18,316,1254,316,1088
1,4,13,427,103,1.21,321,1300,321,807
1,5,11,624,104,1.52,321,1265,321,1265
1,0,7,294,105,1.12,293,1174,293,822
1,2,6,335,106,1.11,311,1155,311,450
1,1,18,338,107,1.13,305,1245,305,954
1,7,21,583,108,1.19,324,1222,324,1222
1,0,2,316,109,3.53,315,1242,315,0
1,0,5,306,110,1.17,305,1195,305,484
1,23,87,1963,111,1.4,316,1348,316,1297
1,5,22,456,112,1.17,317,1250,317,968
1,1,12,341,113,1.21,322,1275,322,860
1,0,2,296,114,1.32,295,1068,295,0
1,13,39,981,115,1.28,332,1305,332,1305
1,6,20,468,116,1.19,326,1262,326,1262
1,1,5,339,117,1.25,318,1283,318,482
1,16,39,1091,118,1.41,326,1317,326,1317
1,6,25,646,119,1.39,308,1277,308,1277
1,1,9,370,120,1.22,313,1278,313,722
1,7,24,1008,121,1.25,326,1318,326,936
1,1,5,320,122,1.1,316,1208,316,17
1,6,18,617,123,1.78,318,1251,318,1251
1,1,10,357,124,1.49,324,1281,324,84
1,7,29,612,125,1.23,322,1279,322,1279
1,2,11,489,126,1.14,294,1258,294,1258
1,8,18,1098,127,1.23,309,1312,309,1312
1,7,25,697,128,1.35,312,1208,312,1208
1,6,18,568,129,1.18,325,1283,325,1211
1,17,37,989,130,1.22,315,1272,315,1168
1,0,6,297,131,1.08,296,1184,296,770
1,4,14,371,132,1.13,315,1224,315,814
1,9,24,768,133,1.21,309,1240,309,717
1,7,17,665,134,1.19,323,1277,323,912
1,9,34,627,135,1.15,306,1277,306,1066
1,3,9,479,136,1.1,321,1257,321,845
1,12,43,753,137,1.15,301,1217,301,1217
1,2,12,410,138,1.38,324,1287,324,1287
1,6,12,398,139,1.04,300,1223,300,894
1,5,17,771,140,1.15,335,1344,335,1344
1,14,37,832,141,1.18,322,1281,322,1281
1,7,15,592,142,1.08,329,1245,329,1245
1,12,38,1214,143,1.25,330,1225,330,1225
1,2,8,419,144,1.12,315,1253,315,502
1,5,15,451,145,1.12,322,1284,322,705
1,1,6,333,146,1.08,316,1256,316,557
1,1,10,394,147,1.0,305,1169,305,1169
1,2,7,328,148,1.1,320,1257,320,974
1,7,14,912,149,1.48,329,1227,329,1227
1,4,15,455,150,1.27,310,1251,310,659
