human_variable,sat_variable,method,correlation,p_value,n_puzzles
mean_final_rating,conflicts,spearman,0.12126781251816648,0.8444444444444444,6
mean_final_rating,conflicts,kendall,0.07715167498104596,0.9333333333333333,6
mean_final_rating,conflicts,pearson,0.40588322111965947,0.5,6
mean_final_rating,decisions,spearman,0.11595420713048969,0.8388888888888889,6
mean_final_rating,decisions,kendall,0.13801311186847084,0.8555555555555555,6
mean_final_rating,decisions,pearson,0.4143701889654953,0.4583333333333333,6
mean_final_rating,propagations,spearman,0.11595420713048969,0.8388888888888889,6
mean_final_rating,propagations,kendall,0.13801311186847084,0.8555555555555555,6
mean_final_rating,propagations,pearson,0.46901424494927524,0.48055555555555557,6
mean_final_rating,sat_time_to_solve,spearman,-0.028988551782622423,0.9944444444444445,6
mean_final_rating,sat_time_to_solve,kendall,-0.13801311186847084,0.8555555555555555,6
mean_final_rating,sat_time_to_solve,pearson,0.29583377381984133,0.6111111111111112,6
mean_final_rating,log_conflicts,spearman,0.12126781251816648,0.8444444444444444,6
mean_final_rating,log_conflicts,kendall,0.07715167498104596,0.9333333333333333,6
mean_final_rating,log_conflicts,pearson,0.1630010163263871,0.8666666666666667,6
mean_final_rating,log_decisions,spearman,0.11595420713048969,0.8388888888888889,6
mean_final_rating,log_decisions,kendall,0.13801311186847084,0.8555555555555555,6
mean_final_rating,log_decisions,pearson,0.29748702477916,0.6333333333333333,6
mean_final_rating,log_propagations,spearman,0.11595420713048969,0.8388888888888889,6
mean_final_rating,log_propagations,kendall,0.13801311186847084,0.8555555555555555,6
mean_final_rating,log_propagations,pearson,0.41850647305812255,0.46111111111111114,6
mean_final_rating,log_sat_time,spearman,-0.028988551782622423,0.9944444444444445,6
mean_final_rating,log_sat_time,kendall,-0.13801311186847084,0.8555555555555555,6
mean_final_rating,log_sat_time,pearson,0.296353786672348,0.6027777777777777,6
