human_variable,sat_variable,method,correlation,p_value,n_puzzles,warning
adjusted_difficulty,conflicts,spearman,0.23904572186687872,0.7111111111111111,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,conflicts,kendall,0.14907119849998599,0.8444444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,conflicts,pearson,0.4132943930803858,0.4888888888888889,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,decisions,spearman,0.2571428571428571,0.6583333333333333,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,decisions,kendall,0.2,0.7194444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,decisions,pearson,0.42087933471503675,0.45416666666666666,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,propagations,spearman,0.2571428571428571,0.6583333333333333,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,propagations,kendall,0.2,0.7194444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,propagations,pearson,0.4759866266083246,0.47638888888888886,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,sat_time_to_solve,spearman,0.08571428571428572,0.9194444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,sat_time_to_solve,kendall,-0.06666666666666667,1.0,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,sat_time_to_solve,pearson,0.2959762609734268,0.6069444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_conflicts,spearman,0.23904572186687872,0.7111111111111111,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_conflicts,kendall,0.14907119849998599,0.8444444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_conflicts,pearson,0.17047647377346287,0.8333333333333334,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_decisions,spearman,0.2571428571428571,0.6583333333333333,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_decisions,kendall,0.2,0.7194444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_decisions,pearson,0.3042181369662,0.6138888888888889,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_propagations,spearman,0.2571428571428571,0.6583333333333333,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_propagations,kendall,0.2,0.7194444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_propagations,pearson,0.42566638487446673,0.45555555555555555,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_sat_time,spearman,0.08571428571428572,0.9194444444444444,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_sat_time,kendall,-0.06666666666666667,1.0,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
adjusted_difficulty,log_sat_time,pearson,0.2965364530869507,0.6055555555555555,6,Exploratory: SAT variation is still only 6 puzzle-level observations.
