experience_group,puzzle_id,n_attempts,n_completed,n_final_ratings_available,mean_final_rating,median_final_rating,sd_final_rating,completion_rate,mean_initial_rating,mean_rating_change
beginner,0,13,12,11,3.3636363636363638,4.0,1.026910636104941,0.9230769230769231,3.3846153846153846,0.09090909090909091
beginner,1,16,11,10,3.3,3.5,0.8232726023485645,0.6875,2.75,0.2
beginner,2,14,11,11,2.3636363636363638,2.0,0.8090398349558905,0.7857142857142857,2.5384615384615383,-0.09090909090909091
beginner,3,14,13,13,4.0,4.0,0.9128709291752769,0.9285714285714286,4.214285714285714,-0.15384615384615385
beginner,4,9,7,7,3.5714285714285716,4.0,1.2724180205607034,0.7777777777777778,3.888888888888889,0.0
beginner,5,15,9,9,3.3333333333333335,3.0,0.4999999999999999,0.6,2.0,-0.1111111111111111
experienced,0,6,5,5,4.0,4.0,0.7071067811865476,0.8333333333333334,4.0,0.0
experienced,1,9,8,8,3.5,3.5,0.9258200997725513,0.8888888888888888,3.4444444444444446,0.0
experienced,2,7,7,7,2.857142857142857,3.0,0.8997354108424372,1.0,2.857142857142857,0.0
experienced,3,11,11,11,4.090909090909091,4.0,0.5393598899705937,1.0,4.090909090909091,0.0
experienced,4,11,11,11,3.090909090909091,3.0,0.7006490497453707,1.0,3.1818181818181817,-0.09090909090909091
experienced,5,13,12,12,3.1666666666666665,3.0,1.0298573010888745,0.9230769230769231,2.923076923076923,-0.08333333333333333
intermediate,0,9,9,9,3.4444444444444446,4.0,1.0137937550497031,1.0,3.4444444444444446,0.0
intermediate,1,12,11,11,3.6363636363636362,4.0,0.8090398349558905,0.9166666666666666,3.25,0.0
intermediate,2,8,7,7,2.5714285714285716,3.0,0.5345224838248488,0.875,2.25,-0.14285714285714285
intermediate,3,9,7,7,3.857142857142857,4.0,0.6900655593423541,0.7777777777777778,4.111111111111111,-0.14285714285714285
intermediate,4,11,11,11,3.8181818181818183,4.0,1.1677484162422844,1.0,3.4545454545454546,0.36363636363636365
intermediate,5,14,14,14,3.642857142857143,4.0,0.8418973861410957,1.0,3.5,0.14285714285714285
