human_variable,sat_variable,method,correlation,p_value,n_puzzles,note
mean_initial_rating,conflicts,spearman,0.23904572186687872,0.7111111111111111,6,Initial ratings before final adjustment
mean_initial_rating,conflicts,kendall,0.14907119849998599,0.8444444444444444,6,Initial ratings before final adjustment
mean_initial_rating,decisions,spearman,0.2571428571428571,0.6583333333333333,6,Initial ratings before final adjustment
mean_initial_rating,decisions,kendall,0.2,0.7194444444444444,6,Initial ratings before final adjustment
mean_initial_rating,propagations,spearman,0.2571428571428571,0.6583333333333333,6,Initial ratings before final adjustment
mean_initial_rating,propagations,kendall,0.2,0.7194444444444444,6,Initial ratings before final adjustment
mean_initial_rating,sat_time_to_solve,spearman,0.08571428571428572,0.9194444444444444,6,Initial ratings before final adjustment
mean_initial_rating,sat_time_to_solve,kendall,-0.06666666666666667,1.0,6,Initial ratings before final adjustment
mean_initial_rating,log_conflicts,spearman,0.23904572186687872,0.7111111111111111,6,Initial ratings before final adjustment
mean_initial_rating,log_conflicts,kendall,0.14907119849998599,0.8444444444444444,6,Initial ratings before final adjustment
mean_initial_rating,log_decisions,spearman,0.2571428571428571,0.6583333333333333,6,Initial ratings before final adjustment
mean_initial_rating,log_decisions,kendall,0.2,0.7194444444444444,6,Initial ratings before final adjustment
mean_initial_rating,log_propagations,spearman,0.2571428571428571,0.6583333333333333,6,Initial ratings before final adjustment
mean_initial_rating,log_propagations,kendall,0.2,0.7194444444444444,6,Initial ratings before final adjustment
mean_initial_rating,log_sat_time,spearman,0.08571428571428572,0.9194444444444444,6,Initial ratings before final adjustment
mean_initial_rating,log_sat_time,kendall,-0.06666666666666667,1.0,6,Initial ratings before final adjustment
mean_centered_final_rating,conflicts,spearman,0.47809144373375745,0.4,6,Participant-centered final ratings
mean_centered_final_rating,conflicts,kendall,0.29814239699997197,0.5777777777777777,6,Participant-centered final ratings
mean_centered_final_rating,decisions,spearman,0.42857142857142855,0.41944444444444445,6,Participant-centered final ratings
mean_centered_final_rating,decisions,kendall,0.2,0.7194444444444444,6,Participant-centered final ratings
