response_id,participant_id,source_file,response_kind,text,char_len,word_len,order,puzzle_id,final_difficulty,immediate_difficulty,skill_nonogram,codeable,n_codes,code_FOOT,code_CLUE,code_PROP,code_AMBIG,code_GUESS,code_HINT,code_ERR,code_LEARN,code_LOAD,code_VIS,code_TIME,code_UI,code_AFF,code_S_FORCED,code_S_CONSTR,code_S_OVERLAP,code_S_EDGE,code_S_CROSS,code_S_NEG,code_S_TRIAL,code_S_HINT,codes_str
R0000,P001,Bing-p1.ndjson,rating_reason,"Average difficulty, no 10's or 0's which would make it a lot easier to solve, but the rows/columns that could pretty much all be solved without any logical deduction unlike puzzle #3.",183,32,1.0,1.0,3.0,3.0,6.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE
R0001,P001,Bing-p1.ndjson,rating_reason,"Lots of rows/columns that could be filled out without any logical thinking (e.g., 4-1-3's) and them being placed at the ends of the puzzle make it easier to solve.",163,29,2.0,2.0,2.0,2.0,6.0,True,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|VIS
R0002,P001,Bing-p1.ndjson,rating_reason,"Only one row/column that could be completely filled without any variation, and all others required you to logic out where the black squares should go.",150,25,3.0,4.0,4.0,4.0,6.0,True,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|AMBIG
R0003,P002,Bing-p2.ndjson,rating_reason,"I dont have to intentionally wait for the hint. I did made some simple mistakes in the middle so I have to adjust some of the value I filled before. This makes me more conscious on how to proceed the next 2 puzzle. Compare to the other two, I did not wait for hint to refresh.",276,56,1.0,2.0,3.0,4.0,7.0,True,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT|ERR
R0004,P002,Bing-p2.ndjson,rating_reason,"I have to wait for 2-3 times during the game to wait for hint refresh because I am not too sure how to proceed. I did not rate it as 5 because I still solved it at the end. Yeay, I am the goat.",193,44,2.0,3.0,4.0,4.0,7.0,True,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT|AMBIG
R0005,P002,Bing-p2.ndjson,rating_reason,"I have to wait for 2-3 times during the game to wait for hint refresh because I am not too sure how to proceed. I did not rate it as 5 because I still solved it at the end. Yeay, I am the goat.",193,44,3.0,5.0,4.0,4.0,7.0,True,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT|AMBIG
R0006,P003,Bing-p3.ndjson,rating_reason,"I'm a chud and I solved it in 13 minutes so it can't be that bad??
The experiment was meant to be 30 minutes for 3 puzzles and I solved it in 13 mintues so I thought I was probably on track; also discovered a lot of new techniques while playing",244,51,1.0,3.0,2.0,2.0,2.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0007,P003,Bing-p3.ndjson,rating_reason,Made 3 minute gap compared to first one which I can attribute to the techniques I learned.,90,17,2.0,0.0,2.0,2.0,2.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0008,P003,Bing-p3.ndjson,rating_reason,Almost solved it sub 5 first run but apparently at some point I couldn't read; after reset I solved it sub 4 for total of sub 9 minutes so if I grew a pair of functioning eyes it was probably a sub 5 which is drastically faster than the first 2.,245,51,3.0,2.0,1.0,1.0,2.0,True,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ERR|LEARN
R0009,P004,Bing-p4.ndjson,rating_reason,used hints multiple time,24,4,1.0,0.0,4.0,4.0,1.0,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT
R0010,P004,Bing-p4.ndjson,rating_reason,easier to solve using elimination,33,5,2.0,2.0,2.0,2.0,1.0,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROP
R0011,P004,Bing-p4.ndjson,rating_reason,,3,1,3.0,5.0,-1.0,-1.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0012,P005,Bing-p5.ndjson,rating_reason,There were a few bigger numbers (like the 10) that made it easier to colour squares in from the get go. This then helped me deduce which other squares should be coloured in as well. I did guess one square and luckily it was right lol,233,46,1.0,0.0,3.0,3.0,8.0,True,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|PROP|GUESS
R0013,P005,Bing-p5.ndjson,rating_reason,"It was harder than the first, mainly because all the numbers were relatively small. There were still enough rows where there is just one possible combination, making that a bit easier to fill in from the start.",210,37,2.0,2.0,4.0,4.0,8.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT
