response_id,participant_id,skill_nonogram,codeable,n_codes,codes_str,code_S_FORCED,code_S_CONSTR,code_S_OVERLAP,code_S_EDGE,code_S_CROSS,code_S_NEG,code_S_TRIAL,code_S_HINT
R0204,P001,6.0,True,4,S_FORCED|S_CONSTR|S_OVERLAP|S_NEG,1,1,1,0,0,1,0,0
R0207,P002,7.0,True,1,S_HINT,0,0,0,0,0,0,0,1
R0210,P003,2.0,True,5,S_FORCED|S_EDGE|S_OVERLAP|S_NEG|S_HINT,1,0,1,1,0,1,0,1
R0213,P004,1.0,True,1,S_FORCED,1,0,0,0,0,0,0,0
R0216,P005,8.0,True,3,S_FORCED|S_EDGE|S_OVERLAP,1,0,1,1,0,0,0,0
R0219,P006,6.0,True,1,S_FORCED,1,0,0,0,0,0,0,0
R0222,P007,1.0,True,2,S_FORCED|S_CROSS,1,0,0,0,1,0,0,0
R0225,P008,5.0,True,2,S_FORCED|S_TRIAL,1,0,0,0,0,0,1,0
R0228,P009,8.0,True,3,S_FORCED|S_NEG|S_HINT,1,0,0,0,0,1,0,1
R0231,P010,6.0,True,3,S_FORCED|S_NEG|S_OVERLAP,1,0,1,0,0,1,0,0
R0234,P011,5.0,True,5,S_FORCED|S_NEG|S_OVERLAP|S_TRIAL|S_HINT,1,0,1,0,0,1,1,1
R0237,P012,3.0,True,3,S_CONSTR|S_CROSS|S_NEG,0,1,0,0,1,1,0,0
R0240,P013,9.0,True,3,S_FORCED|S_OVERLAP|S_CROSS,1,0,1,0,1,0,0,0
R0243,P014,5.0,True,2,S_CONSTR|S_OVERLAP,0,1,1,0,0,0,0,0
R0246,P015,,False,0,,0,0,0,0,0,0,0,0
R0249,P016,9.0,True,5,S_FORCED|S_EDGE|S_OVERLAP|S_NEG|S_CROSS,1,0,1,1,1,1,0,0
R0252,P017,1.0,True,3,S_CONSTR|S_FORCED|S_HINT,1,1,0,0,0,0,0,1
R0255,P018,3.0,True,2,S_CONSTR|S_TRIAL,0,1,0,0,0,0,1,0
R0258,P019,8.0,True,3,S_CONSTR|S_OVERLAP|S_EDGE,0,1,1,1,0,0,0,0
R0261,P020,7.0,True,2,S_CONSTR|S_OVERLAP,0,1,1,0,0,0,0,0
R0264,P021,1.0,False,0,,0,0,0,0,0,0,0,0
R0267,P022,6.0,True,4,S_CONSTR|S_FORCED|S_NEG|S_CROSS,1,1,0,0,1,1,0,0
R0270,P023,1.0,True,0,,0,0,0,0,0,0,0,0
R0273,P024,1.0,True,2,S_TRIAL|S_HINT,0,0,0,0,0,0,1,1
R0276,P025,8.0,True,2,S_FORCED|S_CROSS,1,0,0,0,1,0,0,0
R0279,P026,1.0,True,2,S_FORCED|S_CROSS,1,0,0,0,1,0,0,0
R0282,P027,6.0,True,1,S_FORCED,1,0,0,0,0,0,0,0
R0285,P028,1.0,True,1,S_HINT,0,0,0,0,0,0,0,1
R0288,P029,8.0,True,3,S_FORCED|S_OVERLAP|S_CROSS,1,0,1,0,1,0,0,0
