term,coef,se,p_value
Intercept,3.6845434563002764,0.24801273574262034,6.33585123728498e-50
C(puzzle_id)[T.1],-0.45850580450562517,0.28948462532967134,0.11322346993562406
C(puzzle_id)[T.2],-1.1666432185555529,0.30422523658552647,0.00012566603405454223
C(puzzle_id)[T.3],0.40313397299147496,0.28993954503225755,0.164405322038074
C(puzzle_id)[T.4],0.02544406294580466,0.3041759869431796,0.9333353873020506
C(puzzle_id)[T.5],-0.7349761561885408,0.27800364127860816,0.008198968007953954
C(order)[T.2],0.057947641460628675,0.19215715926027793,0.762984614012514
C(order)[T.3],-0.343650036236739,0.19287261063043978,0.0747906332783166
exp_zmean_z,0.034694334220443636,0.10637897206573682,0.7443191721899797
Group Var,0.3054580987633386,0.13678936508221914,0.0255453546818957
