difficulty_method,sat_metric,spearman_rho,spearman_p,n_puzzles
M0_raw,MiniSat conflicts,0.23904572186687875,0.6482612949673071,6
M0_raw,log MiniSat conflicts,0.23904572186687875,0.6482612949673071,6
M0_raw,Glucose conflicts,0.1765469659009499,0.7379309324353432,6
M1_within_participant,MiniSat conflicts,0.23904572186687875,0.6482612949673071,6
M1_within_participant,log MiniSat conflicts,0.23904572186687875,0.6482612949673071,6
M1_within_participant,Glucose conflicts,0.1765469659009499,0.7379309324353432,6
M2_residualized,MiniSat conflicts,0.4780914437337575,0.3375018565403645,6
M2_residualized,log MiniSat conflicts,0.4780914437337575,0.3375018565403645,6
M2_residualized,Glucose conflicts,0.44136741475237473,0.3809392104771887,6
M3_mixed_emm,MiniSat conflicts,0.4780914437337575,0.3375018565403645,6
M3_mixed_emm,log MiniSat conflicts,0.4780914437337575,0.3375018565403645,6
M3_mixed_emm,Glucose conflicts,0.44136741475237473,0.3809392104771887,6
