n_present,n_absent,mean_present,mean_absent,median_present,median_absent,mannwhitney_u,mannwhitney_p,rank_biserial,pointbiserial_r,pointbiserial_p,cohens_d,code,strategy,outcome
42,25,4.880952380952381,4.08,5.0,3.0,614.5,0.24400339367800916,-0.17047619047619045,0.14715170588928997,0.2347139887772239,0.30298310436979736,S_FORCED,Forced-line solving,self-rated skill
42,24,628.5609524880953,776.4837369930556,556.6956323333334,607.8387473333332,402.0,0.17606438758360587,0.20238095238095233,-0.18734379321472056,0.13199540156178383,-0.39041754523879346,S_FORCED,Forced-line solving,mean solve time
42,25,3.3015873015873014,3.1799999999999993,3.3333333333333335,3.6666666666666665,556.0,0.6891113322347081,-0.059047619047619015,0.06600111295618244,0.5956580317721477,0.13470964160393975,S_FORCED,Forced-line solving,mean difficulty rating
42,26,0.8968253968253966,0.8076923076923076,1.0,1.0,592.5,0.4609870709344065,-0.08516483516483508,0.17276376598738674,0.15887881949792748,0.35558851321183543,S_FORCED,Forced-line solving,solve rate
13,54,5.230769230769231,4.425925925925926,6.0,5.0,412.0,0.3327589541519833,-0.1737891737891737,0.12090488452969804,0.329755632829576,0.30336610521904855,S_CONSTR,Most-constrained-first ordering,self-rated skill
13,53,607.4406120512821,700.7253157672956,576.3675203333333,600.6416993333333,303.0,0.5085869275509827,0.12046444121915822,-0.09767738343443233,0.43524878281786944,-0.2430122024633199,S_CONSTR,Most-constrained-first ordering,mean solve time
13,54,3.1794871794871797,3.2746913580246906,3.0,3.6666666666666665,285.0,0.2933792616218255,0.18803418803418803,-0.04225644480720052,0.7342131817331262,-0.10534321420133173,S_CONSTR,Most-constrained-first ordering,mean difficulty rating
13,55,0.9487179487179488,0.8424242424242422,1.0,1.0,442.0,0.09616986883703114,-0.23636363636363633,0.16671050085445546,0.1742185568247227,0.42360087803400537,S_CONSTR,Most-constrained-first ordering,solve rate
30,37,6.033333333333333,3.4054054054054053,6.0,3.0,872.5,5.438840742274317e-05,-0.572072072072072,0.4964081402616917,1.9349061543890427e-05,1.1326796636049818,S_OVERLAP,Overlap analysis,self-rated skill
30,36,649.2350386722222,709.9477370046296,507.4417716666667,615.3308716666666,432.0,0.16624750322559523,0.19999999999999996,-0.07959126050646606,0.5252607816560304,-0.15790482941875797,S_OVERLAP,Overlap analysis,mean solve time
30,37,3.222222222222223,3.2837837837837838,3.0,3.6666666666666665,519.0,0.6506313041500189,0.06486486486486487,-0.0343589201550466,0.7825259980566199,-0.06809709695610128,S_OVERLAP,Overlap analysis,mean difficulty rating
30,38,0.9,0.8333333333333334,1.0,1.0,624.5,0.396984277778185,-0.09561403508771926,0.13202724211521824,0.2831606053147769,0.2642749890573639,S_OVERLAP,Overlap analysis,solve rate
11,56,6.2727272727272725,4.25,7.0,4.5,442.5,0.022014013781124747,-0.4366883116883118,0.28463718854998166,0.019568235738322233,0.7894814679356786,S_EDGE,Edge / anchor exploitation,self-rated skill
11,55,513.5682153484848,716.1076240636364,480.7294286666667,600.6416993333333,204.0,0.091762872089833,0.32561983471074385,-0.1987289760947593,0.10967971821430833,-0.5357907872764586,S_EDGE,Edge / anchor exploitation,mean solve time
11,56,3.242424242424242,3.2589285714285716,3.0,3.583333333333333,308.0,1.0,0.0,-0.006862093287206032,0.9560490393087911,-0.01824612167875071,S_EDGE,Edge / anchor exploitation,mean difficulty rating
11,57,0.9393939393939393,0.8479532163742689,1.0,1.0,357.0,0.36310390014704097,-0.13875598086124397,0.13429993629634018,0.274881927645509,0.3625941406238366,S_EDGE,Edge / anchor exploitation,solve rate
18,49,4.888888888888889,4.469387755102041,4.5,5.0,483.5,0.5485903095504568,-0.09637188208616787,0.07063686015102019,0.5700234247671253,0.15735384372481764,S_CROSS,Row/column cross-referencing,self-rated skill
17,49,556.1291866078432,726.1423167346938,463.29707833333333,615.7991773333333,275.0,0.038685130419950066,0.3397358943577431,-0.1957397069600088,0.11523517866435372,-0.44947107478040604,S_CROSS,Row/column cross-referencing,mean solve time
18,49,3.185185185185185,3.2823129251700682,3.166666666666667,3.6666666666666665,423.5,0.8077756411766683,0.03968253968253965,-0.0483221184202228,0.6977814320712936,-0.10750121927123882,S_CROSS,Row/column cross-referencing,mean difficulty rating
18,50,0.8333333333333333,0.8733333333333333,1.0,1.0,439.5,0.8598736624950798,0.023333333333333317,-0.07038556983051972,0.5684324549788098,-0.1575677194316672,S_CROSS,Row/column cross-referencing,solve rate
22,45,4.7272727272727275,4.511111111111111,5.0,5.0,523.5,0.7058224643820044,-0.05757575757575761,0.038562051554152606,0.7566984800091564,0.08093935858850199,S_NEG,Negative marking (X-ing whites),self-rated skill
22,44,706.6185029242424,670.2173324545455,600.728314,563.1117644166666,532.0,0.5182055281514915,-0.09917355371900816,0.0451779995733847,0.7186982161007888,0.09447022174315385,S_NEG,Negative marking (X-ing whites),mean solve time
