n_present,n_absent,mean_present,mean_absent,median_present,median_absent,mannwhitney_u,mannwhitney_p,rank_biserial,pointbiserial_r,pointbiserial_p,cohens_d,code,theme,outcome,mw_p_fdr
83,84,3.4578313253012047,3.4047619047619047,4.0,4.0,3560.0,0.8041992944824727,-0.021227768215720033,0.027545945290044685,0.7238144831880601,0.05478277511150527,FOOT,Starting footholds / forced lines,final difficulty (1-5),0.88461922393072
38,129,3.3157894736842106,3.4651162790697674,3.0,4.0,2189.0,0.29283795240858734,0.10689514483884133,-0.06499187603200499,0.40402489807040676,-0.15441581854777192,CLUE,Clue magnitude,final difficulty (1-5),0.357913052943829
25,142,2.92,3.5211267605633805,3.0,4.0,1119.0,0.0019448815116240475,0.36957746478873243,-0.2226459934278014,0.0038279740981180224,-0.636269536246431,PROP,Constraint propagation / chaining,final difficulty (1-5),0.01069684831393226
22,145,3.8636363636363638,3.3655172413793104,4.0,3.0,2087.0,0.014250236366188631,-0.3084639498432602,0.17488928467169434,0.023787548790584503,0.5220516617810943,AMBIG,Combinatorial ambiguity / overlap reasoning,final difficulty (1-5),0.03918815000701874
26,141,3.923076923076923,3.3404255319148937,4.0,3.0,2433.0,0.005293338018505347,-0.3273322422258593,0.21930052116720203,0.0044071397336286015,0.6162349370181596,GUESS,Guessing / certainty,final difficulty (1-5),0.01940890606785294
24,143,3.7916666666666665,3.370629370629371,4.0,3.0,2124.0,0.05010450256282607,-0.2377622377622377,0.1533306063965857,0.047894911999677596,0.4396646840016401,HINT,Hint usage,final difficulty (1-5),0.11022990563821736
12,155,3.4166666666666665,3.432258064516129,3.5,4.0,938.0,0.9609368382566149,-0.008602150537634357,-0.004179998938866898,0.9572442941887579,-0.01608880178610974,ERR,Mistakes / error recovery,final difficulty (1-5),0.9609368382566149
42,125,3.1904761904761907,3.512,3.0,4.0,2183.0,0.0861404075804716,0.1683809523809524,-0.14481963091896416,0.06186228792320381,-0.33531315875303125,LEARN,Learning / practice / fatigue,final difficulty (1-5),0.15792408056419793
7,160,4.571428571428571,3.38125,5.0,4.0,946.0,0.0011776897858803922,-0.6892857142857143,0.24760293241049305,0.0012549501641412305,1.2676087828081652,LOAD,Cognitive load / tracking,final difficulty (1-5),0.01069684831393226
14,153,3.0714285714285716,3.4640522875816995,3.0,4.0,843.0,0.1662299387488978,0.21288515406162467,-0.11295901801682191,0.1461004627926829,-0.4077556183719175,VIS,Visual / spatial layout,final difficulty (1-5),0.2285661657797345
7,160,2.857142857142857,3.45625,2.0,4.0,386.0,0.1442588859497312,0.3107142857142857,-0.12463733506934788,0.10852992960524656,-0.6230732303615568,AFF,Confidence / affect,final difficulty (1-5),0.22669253506386333
